level,pictureUrl,exerciseName,words,noiseLevel,noiseUrl
9,pets,Домашние питомцы /+шум толпы/,(вычёсывать чистить подстригать купировать прививать ветеринар фильтр сетка шиншила),50,crowd
10,pets,Домашние питомцы /+шум толпы/,(когтеточка домик болонка боксёр бигль лабрадор колли такса бульдог),50,crowd
11,pets,Домашние питомцы /+шум толпы/,(короткошерстная длинношерстная стрижка грумер питомец выставка паспорт порода родословная),50,crowd
1,animals,Мир животных,(конь бык козёл бегемот баран крокодил),0,
2,animals,Мир животных,(жираф утка гусь индюк перепёлка цыплёнок),0,
3,animals,Мир животных,(лиса волк медведь заяц ёж белка),0,
4,animals,Мир животных,(сова кукушка ласточка страус соловей чайка),0,
5,animals,Мир животных,(воробей сорока ворона голубь снегирь синица),0,
6,animals,Мир животных,(жук бабочка муха комар стрекоза мошка),0,
7,animals,Мир животных,(окунь щука сом форель карп плотва),0,
8,animals,Мир животных,(змея ящерица жаба крокодил уж черепаха),0,
9,animals,Мир животных,(утконос бизон зубр тетерев соболь як шершень сверчок скат),0,
10,animals,Мир животных,(тритон шакал дикобраз бурундук морж цесарка тля богомол касатка),0,
11,animals,Мир животных /+шум толпы/,(бегать прыгать летать охотиться спать лежать),0,
1,animals,Мир животных /+шум толпы/,(конь бык козёл бегемот баран крокодил),50,crowd
2,animals,Мир животных /+шум толпы/,(жираф утка гусь индюк перепёлка цыплёнок),50,crowd
3,animals,Мир животных /+шум толпы/,(лиса волк медведь заяц ёж белка),50,crowd
4,animals,Мир животных /+шум толпы/,(сова кукушка ласточка страус соловей чайка),50,crowd
5,animals,Мир животных /+шум толпы/,(воробей сорока ворона голубь снегирь синица),50,crowd
6,animals,Мир животных /+шум толпы/,(жук бабочка муха комар стрекоза мошка),50,crowd
7,animals,Мир животных /+шум толпы/,(окунь щука сом форель карп плотва),50,crowd
8,animals,Мир животных /+шум толпы/,(змея ящерица жаба крокодил уж черепаха),50,crowd
9,animals,Мир животных /+шум толпы/,(утконос бизон зубр тетерев соболь як шершень сверчок скат),50,crowd
10,animals,Мир животных /+шум толпы/,(тритон шакал дикобраз бурундук морж цесарка тля богомол касатка),50,crowd
11,animals,Мир животных /+шум толпы/,(бегать прыгать летать охотиться спать лежать),50,crowd
1,transport,Транспорт,(машина велосипед мотоцикл самокат скутер велобег),0,
2,transport,Транспорт,(автобус троллейбус трамвай метро такси поезд),0,
3,transport,Транспорт,(грузовик фургон фура мусоровоз лесовоз автовоз),0,
4,transport,Транспорт,(кран экскаватор погрузчик бульдозер каток цементовоз),0,
5,transport,Транспорт,(самолёт вертолёт аэроплан ракета дирижабль пароход),0,
6,transport,Транспорт,(корабль лодка катер катамаран парусник яхта),0,
7,transport,Транспорт,(паровоз вагон кабина место билет проход),0,
8,transport,Транспорт,(водитель машинист пилот капитан проводник стюардесса),0,
9,transport,Транспорт,(греметь ехать останавливаться лететь рыть катиться),0,
10,transport,Транспорт,(гараж ангар депо автопарк вокзал аэропорт порт пристань платформа),0,
11,transport,Транспорт,(карета телега повозка кибитка турникет перрон палуба контролер эскалатор),0,
1,transport,Транспорт /+шум города/,(машина велосипед мотоцикл самокат скутер велобег),50,city
2,transport,Транспорт /+шум города/,(автобус троллейбус трамвай метро такси поезд),50,city
3,transport,Транспорт /+шум города/,(грузовик фургон фура мусоровоз лесовоз автовоз),50,city
4,transport,Транспорт /+шум города/,(кран экскаватор погрузчик бульдозер каток цементовоз),50,city
